step,altitude,aileron,elevator,pitch,roll
0,994.8612060546875,-0.639295435569502,-1.0,-2.763824735144847,-0.014085879448502793
1,994.4819946289062,0.3048106211022167,-1.0,-2.297158249962661,-0.15295108078652683
2,994.0744018554688,0.3048106211022167,-1.0,-1.05962007318844,-0.5603471186822594
3,993.6590576171875,0.3048106211022167,-1.0,0.7703864813566998,-0.7380828348728601
4,993.2607421875,0.3048106211022167,-1.0,2.999917267438919,-0.7213188826070043
5,992.906982421875,0.3048106211022167,-1.0,5.460746486708949,-0.5615108655229532
6,992.6178588867188,0.3048106211022167,-1.0,8.01074980200902,-0.29664362670968986
7,992.4075317382812,-0.3048106211022167,-1.0,10.529501586761697,0.04548266324004464
8,992.2866821289062,-0.3048106211022167,-1.0,12.92406260315697,0.3446941676032882
9,992.2642211914062,0.3048106211022167,-1.0,15.12931638896888,0.33375975511361183
10,992.347900390625,0.3048106211022167,-1.0,17.105915078162624,0.16441824803146424
11,992.5385131835938,0.3048106211022167,-1.0,18.83780687241503,0.14106060189560735
12,992.831787109375,0.3048106211022167,-1.0,20.326246818986085,0.24409540624763806
13,993.2222290039062,0.3048106211022167,-1.0,21.584594767892337,0.4442196821247472
14,993.705078125,0.3048106211022167,-1.0,22.635434739624433,0.7177381559346251
15,994.276611328125,0.3048106211022167,-1.0,23.508028972133996,1.0454412408017282
16,994.9338989257812,0.3048106211022167,-1.0,24.23560633573314,1.4118226197215555
17,995.6747436523438,0.3048106211022167,-1.0,24.85296493669579,1.8045443030104198
18,996.4977416992188,0.3048106211022167,-1.0,25.39448111711462,2.2140100883278646
19,997.4013061523438,0.3048106211022167,-1.0,25.892261888730566,2.633014659708055
20,998.3844604492188,0.3048106211022167,-1.0,26.374573989423723,3.0563337762095784
21,999.4457397460938,0.3048106211022167,-1.0,26.86534527940394,3.4804259847477823
22,1000.58203125,0.3048106211022167,-1.0,27.383092401511124,3.90344670735994
23,1001.7901611328125,0.3048106211022167,-1.0,27.939660611313368,4.324568423939423
24,1003.0670776367188,0.3048106211022167,-1.0,28.541355880961888,4.743533081401652
25,1004.4098510742188,0.3048106211022167,-0.9999999999999989,29.189595474709456,5.160524241080569
26,1005.8150634765625,0.3048106211022167,-0.9999999999713689,29.882036637670765,5.576089598770247
27,1007.2799072265625,0.3048106211022167,-0.9999992357521803,30.613491841171186,5.990828930457177
28,1008.8019409179688,0.3048106211022167,-0.9794310225241274,31.377025028108573,6.405328351749509
29,1010.379150390625,0.3048106211022167,0.9932438150852377,32.1617761977026,6.819915711727406
30,1012.0225219726562,0.3048106211022167,0.9999999465238996,32.6943260472885,7.212504739935984
31,1013.744384765625,0.3048106211022167,0.9999999999995741,32.314970510596815,7.523893064196865
32,1015.5308227539062,0.3048106211022167,1.0,31.19994554368682,7.768961959164215
33,1017.3682250976562,0.3048106211022167,1.0,29.552176066799586,7.97145486994029
34,1019.2411499023438,0.3048106211022167,1.0,27.549651687063765,8.154542359510714
35,1021.1305541992188,0.3048106211022167,1.0,25.33892094331115,8.337837316077175
36,1023.014892578125,0.3048106211022167,1.0,23.03330350406143,8.535709603879738
37,1024.87646484375,0.3048106211022167,1.0,20.718414083013414,8.756118100848756
38,1026.6998291015625,0.3048106211022167,1.0,18.457326062057593,9.003138722371437
39,1028.471435546875,0.3048106211022167,1.0,16.294032689638012,9.278525119517182
40,1030.1802978515625,0.3048106211022167,1.0,14.256781920614554,9.582087754536522
41,1031.8212890625,0.3048106211022167,1.0,12.362917312837173,9.911710976334044
42,1033.395263671875,0.3048106211022167,1.0,10.626404895611254,10.263846501635928
43,1034.9027099609375,0.3048106211022167,1.0,9.055101094029602,10.635119363218543
44,1036.3446044921875,0.3048106211022167,1.0,7.650544408202765,11.022479881617476
45,1037.721435546875,0.3048106211022167,1.0,6.408902248232718,11.423231839657866
46,1039.0341796875,0.3048106211022167,1.0,5.321927587583494,11.835046996606383
47,1040.2833251953125,0.3048106211022167,1.0,4.377909640036284,12.255967649492174
48,1041.4696044921875,0.3048106211022167,1.0,3.562581207631988,12.684384434992054
49,1042.593505859375,0.3048106211022167,1.0,2.859968612336062,13.119009008673828
50,1043.655517578125,0.3048106211022167,1.0,2.2531594519899083,13.558831356313984
51,1044.6561279296875,0.3048106211022167,1.0,1.7249802831425876,14.003071982573491
52,1045.5955810546875,0.3048106211022167,1.0,1.2585734518705678,14.451134953447266
53,1046.474365234375,0.3048106211022167,1.0,0.8378688037172787,14.902569476450088
54,1047.29248046875,0.3048106211022167,1.0,0.44795448825984835,15.357021235518765
55,1048.05029296875,0.3048106211022167,1.0,0.07534757200443284,15.814217023086492
56,1048.7479248046875,0.3048106211022167,1.0,-0.2918250349719516,16.273936565552543
57,1049.38525390625,0.3048106211022167,1.0,-0.663727101051427,16.736002277998487
58,1049.962646484375,0.3048106211022167,1.0,-1.048783764626803,17.200274141546352
59,1050.4798583984375,0.3048106211022167,1.0,-1.4537111026841858,17.666637750527528
60,1050.93701171875,0.3048106211022167,1.0,-1.883592643595916,18.135017972861153
61,1051.3341064453125,0.3048106211022167,1.0,-2.3419920385614477,18.605363582128447
62,1051.6710205078125,0.3048106211022167,1.0,-2.831091426298894,19.077652380214612
63,1051.94775390625,0.3048106211022167,1.0,-3.351847673622292,19.55188778221423
64,1052.1644287109375,0.3048106211022167,1.0,-3.9041566201467983,20.028093693789398
65,1052.32080078125,0.3048106211022167,1.0,-4.487019777593122,20.506304265885962
66,1052.4169921875,0.3048106211022167,1.0,-5.098709748431485,20.986560479638946
67,1052.452880859375,0.3048106211022167,1.0,-5.736926893345707,21.4688964859942
68,1052.4285888671875,-0.3048106211022167,1.0,-6.398945113083309,21.953334483066524
69,1052.343994140625,-0.3048106211022167,1.0,-7.0818611503602105,22.382149127085558
70,1052.19921875,-0.3048106211022167,1.0,-7.783902997973618,22.60276423727697
71,1051.9940185546875,-0.3048106211022167,1.0,-8.5040585072659,22.642970145826247
72,1051.728759765625,-0.3048106211022167,1.0,-9.241195574382123,22.5337195625046
73,1051.4031982421875,-0.3048106211022167,1.0,-9.994080496403459,22.300207347612915
74,1051.0174560546875,-0.3048106211022167,1.0,-10.761416391161248,21.962951389417903
75,1050.5714111328125,-0.3048106211022167,1.0,-11.541875640635572,21.538675406102342
76,1050.0653076171875,-0.3048106211022167,1.0,-12.334131480580153,21.041010747702288
77,1049.4990234375,-0.3048106211022167,1.0,-13.136877637316228,20.48108891501757
78,1048.87255859375,-0.3048106211022167,1.0,-13.948841134337236,19.86801113511722
79,1048.1861572265625,-0.3048106211022167,1.0,-14.768795098913511,19.209229144385738
80,1047.4395751953125,-0.3048106211022167,1.0,-15.59555876209229,18.510855962130275
81,1046.6329345703125,-0.3048106211022167,1.0,-16.427994897376763,17.777933975505594
82,1045.766357421875,-0.3048106211022167,1.0,-17.26501067449973,17.01462618481082
83,1044.8397216796875,-0.3048106211022167,1.0,-18.10554229149796,16.224393788407852
84,1043.8531494140625,-0.3048106211022167,1.0,-18.948549852070325,15.410134494052077
85,1042.806640625,-0.3048106211022167,1.0,-19.79300712029402,14.574284971729888
86,1041.7001953125,-0.3048106211022167,1.0,-20.637892982888136,13.71892672159085
87,1040.5338134765625,-0.3048106211022167,1.0,-21.48217778883529,12.845847545650216
88,1039.3074951171875,-0.3048106211022167,1.0,-22.32481822673976,11.95661070345427
89,1038.0213623046875,-0.3048106211022167,1.0,-23.16475390973291,11.052602723404524
90,1036.67529296875,-0.3048106211022167,1.0,-24.000900545283994,10.135076945213678
91,1035.26953125,-0.3048106211022167,1.0,-24.832149935200178,9.205186817077816
92,1033.8038330078125,-0.3048106211022167,1.0,-25.65737509826841,8.264019192848616
93,1032.2784423828125,-0.3048106211022167,1.0,-26.47542856270813,7.312615676374507
94,1030.6932373046875,-0.3048106211022167,1.0,-27.285156026549604,6.351997807823226
95,1029.0482177734375,-0.3048106211022167,1.0,-28.0854031878231,5.383184566041577
96,1027.343505859375,-0.3048106211022167,1.0,-28.875027697389935,4.407207736481054
97,1025.5792236328125,-0.3048106211022167,1.0,-29.652917941962688,3.425125358132774
98,1023.7552490234375,-0.3048106211022167,1.0,-30.417994751652497,2.4380330360282896
99,1021.8717041015625,-0.3048106211022167,1.0,-31.1692472584622,1.447071945367522
100,1019.9286499023438,-0.3048106211022167,1.0,-31.90572948119175,0.4534347012125787
101,1017.9260864257812,0.3048106211022167,1.0,-32.62646470278983,-0.5416325070781303
102,1015.8641357421875,0.3048106211022167,1.0,-33.330424979786365,-1.4721282808943021
103,1013.7430419921875,0.3048106211022167,1.0,-34.01752151972214,-2.164319821785787
104,1011.5628662109375,0.3048106211022167,1.0,-34.687890926380554,-2.6453243681397107
105,1009.32373046875,0.3048106211022167,1.0,-35.34229476585406,-2.9460817164008786
106,1007.02587890625,0.3048106211022167,1.0,-35.982010283517454,-3.091391856558784
107,1004.6693725585938,0.3048106211022167,1.0,-36.60873819647407,-3.101122528248525
108,1002.2544555664062,0.3048106211022167,1.0,-37.22449341052906,-2.991180388273415
109,999.78125,0.3048106211022167,1.0,-37.831492322068094,-2.774296482359534
110,997.2498779296875,0.3048106211022167,0.99999999999998,-38.432060610503555,-2.460655903219841
111,994.6604614257812,0.3048106211022167,0.9999999999698743,-39.02852395524785,-2.0584059993171033
112,992.01318359375,0.3048106211022167,0.9999999459740289,-39.62310216778121,-1.5740617039024551
113,989.3080444335938,0.3048106211022167,0.9998847348387515,-40.2178340595709,-1.0128332773738524
114,986.5452270507812,0.3048106211022167,0.7448443901682307,-40.814464743949856,-0.37888881599186947
115,983.723388671875,-0.3048106211022167,-0.9960248535262265,-41.38709414358539,0.32460508715039976
116,980.8309326171875,-0.3048106211022167,-0.9999996142866654,-41.64815421894703,1.020393122846293
117,977.8547973632812,-0.3048106211022167,-0.9999999999675407,-41.04279455280879,1.5014476149585223
118,974.7989501953125,-0.3048106211022167,-0.9999999999999972,-39.70978751363243,1.7914649176366684
119,971.6759643554688,-0.3048106211022167,-1.0,-37.8159092454767,1.924489041581602
120,968.5045776367188,-0.3048106211022167,-1.0,-35.51072040059741,1.9292601421602675
121,965.3049926757812,-0.3048106211022167,-1.0,-32.93175366812189,1.829549839005248
122,962.0982666015625,-0.3048106211022167,-1.0,-30.20356437775453,1.6433059482646328
123,958.90673828125,-0.3048106211022167,-1.0,-27.435160641101426,1.3833205604802097
