step,altitude,aileron,elevator,throttle,pitch,roll
0,515.7208862304688,-1.0,0.007510345937719758,-0.9999999910273947,6.572014849575439,6.554003213847293
1,516.0084228515625,-1.0,0.038726240026216704,-0.9999999910273947,6.854323216558168,6.847428994364686
2,516.324951171875,-1.0,0.0698719248649598,-0.9999999910273947,7.136337458519763,7.062168861209418
3,516.6700439453125,-1.0,0.10085206046333159,-0.9999999910273947,7.417465056549726,7.125361344523553
4,517.04345703125,-1.0,0.1315778437932663,-0.9999999910273947,7.697162156835394,6.994007842160922
5,517.4450073242188,-1.0,0.1619648711203916,-0.9999999910273947,7.974909238113025,6.650180388210711
6,517.8746948242188,-1.0,0.19188710295922162,-0.9999999910273947,8.24978251729737,6.091214782009793
7,518.3327026367188,-1.0,0.22055306057774413,-0.9999999910273947,8.51465383821588,5.323918587726554
8,518.8190307617188,-1.0,0.2466226784404942,-0.9999999910273947,8.75706237450151,4.361040353446822
9,519.3335571289062,-0.9612540593619381,0.26895226379949777,-0.9999999910273947,8.966010667816894,3.2187503385871925
10,519.8756713867188,-0.7239916444362504,0.2866796003154303,-0.9999999910273947,9.132853406220088,1.9157530161897443
11,520.444091796875,-0.4620137452388831,0.2992462240042795,-0.9999999910273947,9.251682476079031,0.4770232397588937
12,521.037109375,-0.18225691530804888,0.3064020136748713,-0.9999999910273947,9.31956516491885,-1.0593448379092296
13,521.6521606445312,0.10526957710174656,0.3081913997032171,-0.9999999910273947,9.336565505763012,-2.638382334622039
14,522.2863159179688,0.389333666344109,0.30492130291225317,-0.9999999910273947,9.305505220512378,-4.198405011572356
15,522.9361572265625,0.658109134797908,0.2971213093691306,-0.9999999910273947,9.231555616142296,-5.674465667159587
16,523.5977783203125,0.8998569798107823,0.2855023655608891,-0.9999999910273947,9.121745811082356,-7.0020960667986865
17,524.2672729492188,1.0,0.2709022295457049,-0.9999999910273947,8.98431984366076,-8.119365177737855
18,524.940673828125,1.0,0.25425999039968755,-0.9999999910273947,8.82838406358843,-8.970033649238031
19,525.6141967773438,1.0,0.2365003722750116,-0.9999999910273947,8.662753683762913,-9.507829084106495
20,526.2846069335938,1.0,0.21833728203512578,-0.9999999910273947,8.49412058202353,-9.709836197677854
21,526.9490356445312,1.0,0.2002446975121112,-0.9999999910273947,8.326839003966162,-9.57621635317125
22,527.6052856445312,1.0,0.1824949878246707,-0.9999999910273947,8.163340496935335,-9.120109127002491
23,528.2516479492188,1.0,0.1652072769085838,-0.9999999910273947,8.004623976097164,-8.362385015954201
24,528.8871459960938,0.9591913751809742,0.1483931430494134,-0.9999999910273947,7.850702248056343,-7.327948597287539
25,529.5110473632812,0.7254358259558171,0.13199656302491866,-0.9999999910273947,7.700981086355078,-6.044210273915411
26,530.1231079101562,0.45240594603085665,0.1159230360204853,-0.9999999910273947,7.554529877718957,-4.544785248724859
27,530.7232666015625,0.14855284256025952,0.10006367300543978,-0.9999999910273947,7.410301041884029,-2.876085297456353
28,531.311767578125,-0.17467360486629946,0.08431726363133084,-0.9999999910273947,7.267328107082737,-1.1009908491563245
29,531.8888549804688,-0.5045188872187981,0.06861557548102978,-0.9999999910273947,7.124951533173352,0.7104529054111602
30,532.45458984375,-0.8274755084774978,0.05304850785845471,-0.9999999910273947,6.983947827287139,2.4840655228264135
31,533.0088500976562,-1.0,0.038397335025195496,-0.9999999910273947,6.851347388514158,4.144523783644241
32,533.5515747070312,-1.0,0.025504652380677503,-0.9999999910273947,6.734724896643952,5.6204196609177455
33,534.0826416015625,-1.0,0.015052247001316613,-0.9999999910273947,6.6402053238147305,6.847636888247549
34,534.6021118164062,-1.0,0.00754519110817167,-0.9999999910273947,6.572329892050906,7.77538831339955
35,535.1100463867188,-1.0,0.0033089932066592666,-0.9999999910273947,6.534030033166882,8.382481993813318
36,535.6070556640625,-1.0,0.002478449396956416,-0.9999999910273947,6.5265210939481,8.670236155998662
37,536.0938110351562,-1.0,0.004995286978964157,-0.9999999910273947,6.549275869167997,8.65150265465261
38,536.5714111328125,-1.0,0.010617946577826479,-0.9999999910273947,6.6001116864999325,8.345691179849045
39,537.0411376953125,-1.0,0.018944536188597545,-0.9999999910273947,6.6754004348341605,7.775898016266363
40,537.5045776367188,-1.0,0.029472306703259052,-0.9999999910273947,6.7706098567695525,6.966836495868965
41,537.9635009765625,-1.0,0.0416032564546467,-0.9999999910273947,6.880355201919202,5.943571705363505
42,538.4197387695312,-1.0,0.05469606307275125,-0.9999999910273947,6.998864960434447,4.730481443671404
43,538.875,-0.9852718724657823,0.0681768731634671,-0.9999999910273947,7.1209759361895815,3.350651323300482
44,539.3310546875,-0.7076361949142962,0.08156844522372378,-0.9999999910273947,7.242390232649374,1.8259321866226685
45,539.789306640625,-0.4081633675429449,0.09449631769779249,-0.9999999910273947,7.35972690617467,0.18128782810561725
46,540.251220703125,-0.09384007840811237,0.10669629551809628,-0.9999999910273947,7.470589414140439,-1.544912270793839
47,540.7177124023438,0.22530395836915934,0.11801399005610747,-0.9999999910273947,7.573564761162136,-3.2975869433084184
48,541.1895141601562,0.5379379457363485,0.1283901144325801,-0.9999999910273947,7.668095433048759,-5.014509737664507
49,541.6670532226562,0.8321527457800486,0.13784405969158323,-0.9999999910273947,7.754335962830279,-6.63027807074294
50,542.150390625,1.0,0.14645364677455633,-0.9999999910273947,7.832973638291928,-8.07961603808932
51,542.639404296875,1.0,0.1543300328670195,-0.9999999910273947,7.90500310573159,-9.303448479798558
52,543.1337280273438,1.0,0.16159788883613962,-0.9999999910273947,7.971547077494085,-10.248925953394036
53,543.6327514648438,1.0,0.1683735229905871,-0.9999999910273947,8.03365654893795,-10.873178776550168
54,544.1360473632812,1.0,0.1747379663160934,-0.9999999910273947,8.092063204078022,-11.16006806603186
55,544.6431274414062,1.0,0.18073717398248265,-0.9999999910273947,8.14717941558544,-11.116044081736542
56,545.1535034179688,1.0,0.18640541261090315,-0.9999999910273947,8.199311688199208,-10.757779315428216
57,545.6668090820312,1.0,0.19174344819855815,-0.9999999910273947,8.248459168145681,-10.107537622480187
58,546.1829833984375,1.0,0.19648297892940622,-0.9999999910273947,8.292139935435205,-9.190454952811745
59,546.7018432617188,1.0,0.20029003276273724,-0.9999999910273947,8.327257353052826,-8.032739596041877
60,547.2232666015625,0.8376785369563609,0.2029109729413065,-0.9999999910273947,8.35144988309301,-6.660624601225307
61,547.7471313476562,0.5538313580262524,0.20417772789904007,-0.9999999910273947,8.363147435820304,-5.101793151954922
62,548.2731323242188,0.24270940771119048,0.2040057776656705,-0.9999999910273947,8.361559416838276,-3.3931741600822773
63,548.8008422851562,-0.08632927221067571,0.20239339261432926,-0.9999999910273947,8.34667131199494,-1.5861601033566632
64,549.329833984375,-0.42200654548528527,0.19942266740116335,-0.9999999910273947,8.319254078892863,0.25731176893075985
65,549.8593139648438,-0.7521445508498836,0.19525550177411916,-0.9999999910273947,8.280823165754141,2.070363099232857
66,550.3883666992188,-1.0,0.19013191714381558,-0.9999999910273947,8.233616313305598,3.7842009959616263
67,550.9159545898438,-1.0,0.18435737940250208,-0.9999999910273947,8.180468903826435,5.332653972788177
68,551.44091796875,-1.0,0.1782240286197518,-0.9999999910273947,8.124083130907042,6.6559698273059436
69,551.962158203125,-1.0,0.17196383468586615,-0.9999999910273947,8.06659684375763,7.70164105338363
70,552.4786987304688,-1.0,0.16574455626576037,-0.9999999910273947,8.00954939626239,8.440281615890905
71,552.989501953125,-1.0,0.15967091298324929,-0.9999999910273947,7.95389616113148,8.869873193928026
72,553.4939575195312,-1.0,0.15378213600049737,-0.9999999910273947,7.8999897468808005,9.000139415552155
73,553.9915771484375,-1.0,0.14806067160767256,-0.9999999910273947,7.8476628138756865,8.847971338580734
74,554.4819946289062,-1.0,0.14244501155452466,-0.9999999910273947,7.796347602641381,8.434396554147291
75,554.9652099609375,-1.0,0.1368426298332446,-0.9999999910273947,7.745195462173509,7.782387549751521
76,555.4412841796875,-1.0,0.13114402853184903,-0.9999999910273947,7.693205769758665,6.915678805872393
77,555.9105224609375,-1.0,0.12523544250829238,-0.9999999910273947,7.639342044190298,5.857669269945901
78,556.3732299804688,-1.0,0.11901037427834942,-0.9999999910273947,7.582636959927206,4.6307380567875915
